figure,x,y,orth.reg.n.observations,orth.reg.slope,orth.reg.intercept,orth.reg.ssq,orth.reg.mse,orth.reg.r.squared
fig3a,Caenorhabditis elegans:EC10:2:Growth,Caenorhabditis elegans:AC50:NA:Growth,10,1.20157403449205,-0.07604755176841,2.89208041920565,0.706760875063628,0.552895752943079
fig3b,NEMATODE:EC10:2:Growth,FISH:LC50:4:Mortality,17,1.99463361203805,-1.82178681242613,3.73870948436712,1.09490597807991,0.750496733393501
fig3c,NEMATODE:EC10:2:Growth,INVERT:LC50:2:Mortality,17,2.49819833694587,-2.95530960017552,3.72249356328733,1.58556217772929,0.815147410037328
fig3d,Caenorhabditis elegans:EC10:2:Growth,Daphnia magna:LC50:2:Mortality,16,2.36922909777484,-2.73188959396476,3.45558421522557,1.42828939238176,0.794557032205251
