x,y,orth.reg.n.observations,orth.reg.slope,orth.reg.intercept,orth.reg.ssq,orth.reg.mse,orth.reg.r.squared,deming.reg.slope,deming.reg.slope.lower.ci,deming.reg.slope.upper.ci,deming.reg.intercept,deming.reg.intercept.lower.ci,deming.reg.intercept.upper.ci,reg.n.observations,reg.slope,reg.intercept,reg.r.squared,reg.r.pearson,reg.r.pvalue,reg.df
NEMATODE:EC10:2:Growth,INVERT:EC50:2:Mortality,8,3.00771668831846,-4.58310296763079,1.83285727292908,2.30169292509975,0.824149056122641,3.00771010383024,1.13473118271794,4.88068902494253,-4.58309650038815,-7.1744206777931,-1.99177232298321,8,1.452,-3.055,0.432,0.657,0.077,6
NEMATODE:EC10:2:Growth,INVERT:LC50:1:Mortality,14,2.24075573506593,-2.37577022068018,2.13452420611342,0.91799578040551,0.865454798034182,2.24076220455312,1.35280519137274,3.12871921773349,-2.37577642086711,-3.55608416916356,-1.19546867257066,14,1.526,-1.691,0.623,0.789,0.001,12
NEMATODE:EC10:2:Growth,FISH:EC50:4:Mortality/Growth,9,1.57772856319979,-1.47306863054251,1.62104709084552,0.628466884121067,0.77384360726165,1.5777267140287,0.11166083549326,3.04379259256413,-1.47306621825118,-3.82924533902612,0.883112902523763,9,1.045,-0.778,0.55,0.741,0.022,7
NEMATODE:EC10:2:Growth,INVERT:EC50:2:Mortality/Growth,9,3.44548492250775,-4.86467327401548,2.17038572921475,3.10398109380008,0.84494741622338,3.44549178646639,-0.60362535957117,7.49460893250394,-4.86468154664321,-10.8745045631254,1.14514146983899,9,1.58,-2.616,0.417,0.646,0.06,7
NEMATODE:EC10:2:Growth,INVERT:EC50:4:Mortality/Growth,8,3.62369449710583,-4.42283502474717,2.38127363968976,4.20627038905332,0.870316971891958,3.62370312713333,0.126783621532482,7.12062263273418,-4.42284587942244,-10.0699938321011,1.22430207325624,8,1.765,-2.085,0.451,0.672,0.068,6
NEMATODE:EC10:2:Growth,FISH:LC50:5:Mortality,7,2.42085421367228,-2.58327675430709,2.26404519680556,2.21893737066849,0.739371853020285,2.42083629900841,-1.1353615375237,5.97703413554052,-2.58325919723213,-7.24535964659655,2.07884125213228,7,1.096,-1.285,0.375,0.613,0.144,5
NEMATODE:EC10:2:Growth,ALGAE:NOEC:1:Population,5,2.19608553674466,-3.98026894290121,0.716092114219111,0.833931041630726,0.798987975609845,2.19609764265843,-2.01897685461227,6.41117213992913,-3.98028525804377,-8.99096012546446,1.03038960937692,5,1.268,-2.729,0.501,0.708,0.181,3
NEMATODE:EC10:2:Growth,ALGAE:NOEC:3:Population,6,1.31420035992962,-2.28137744569199,1.87457313219367,0.852031787997912,0.283639702429215,1.31420138493983,-3.53461954496145,6.1630223148411,-2.28137851851688,-8.04891843617862,3.48616139914487,6,0.296,-1.215,0.075,0.274,0.599,4
NEMATODE:EC10:2:Growth,ALGAE:NOEC:4:Population,10,2.98810908136247,-4.43946338348521,2.78580219315082,2.76596613437592,0.680765803160833,2.98810848347318,0.904709409621882,5.07150755732448,-4.43946269086628,-6.75264070027354,-2.12628468145903,10,0.898,-2.018,0.238,0.488,0.152,8
NEMATODE:EC10:2:Growth,"INVERT:EC50:2:Intoxication, Immobile",7,3.03536233541432,-2.7129336770738,0.948190660114667,1.38346767508035,0.801219364158689,3.03534843911444,-18.1829992314591,24.253696109688,-2.71292165028025,-16.8644968863275,11.438653585767,7,1.339,-1.245,0.388,0.623,0.135,5
NEMATODE:EC10:2:Growth,"INVERT:LC50:4:Mortality, Mortality",7,2.91076676988546,-3.37521857869674,1.00689583931502,1.36255492318855,0.908310717158901,2.91076558458686,-0.209578956540659,6.03111012571438,-3.37521748836351,-6.78024882739206,0.0298138506650374,7,1.969,-2.509,0.64,0.8,0.031,5
NEMATODE:EC10:2:Growth,"FISH:LC50:2:Mortality, Mortality",5,0.25696984948866,0.74179190205613,1.18341232637402,0.252311437684857,0.290816280401375,0.256961351080978,-1.86885108611913,2.38277378828109,0.741798717393574,-1.33198921185908,2.81558664664623,5,0.112,0.858,0.021,0.145,0.816,3
NEMATODE:EC10:2:Growth,ALGAE:IC50:4:Population,6,2.39903451513832,-3.95837815346063,0.732135601252165,0.82430739848372,0.788741447443689,2.39904683751991,-0.136836674007248,4.93493034904708,-3.9583936201338,-6.94756048273802,-0.969226757529579,6,1.26,-2.528,0.454,0.674,0.142,4
NEMATODE:EC10:2:Growth,INVERT:NOEC:21:Growth,5,2.44239664065176,-3.71623876250478,0.134814997542493,0.187805416883794,0.930705895681255,2.44240163319747,0.861372704645308,4.02343056174963,-3.71624136920022,-4.60553054957099,-2.82695218882946,5,1.939,-3.454,0.761,0.872,0.054,3
NEMATODE:EC10:2:Growth,INVERT:NOEC:21:Mortality/Growth,7,2.59917594938049,-4.88935386549711,0.884031170412217,0.979470621893362,0.935392387822627,2.59918080271388,0.513476890110471,4.68488471531729,-4.88935988961129,-7.35541862313912,-2.42330115608346,7,2.05,-4.208,0.759,0.871,0.011,5
NEMATODE:EC10:2:Growth,ALGAE:EC50:1:Population,7,2.80810606146918,-4.03569264071832,0.6896932067049,0.875463022964585,0.905481543036355,2.80810458385384,1.18375179845669,4.432457369251,-4.03569089190504,-5.78748737203128,-2.28389441177881,7,1.918,-2.983,0.645,0.803,0.03,5
NEMATODE:EC10:2:Growth,AMPHIB:LC50:4:Mortality,6,2.3586013378387,-2.83604844884737,1.11314138760743,1.21759120472782,0.747560010888777,2.35858152236785,-1.8324367798739,6.54959982460959,-2.83602203650668,-8.9765212196555,3.30447714664214,6,1.119,-1.184,0.396,0.629,0.181,4
NEMATODE:EC10:2:Growth,FISH:NOEC:30:Growth,5,0.77870850595388,-1.25511187134636,1.04198854416448,0.334767357220935,0.266997936615048,0.778712540721736,-6.97330256923475,8.53072765067823,-1.25511490216072,-5.55286905793551,3.04263925361407,5,0.243,-0.853,0.067,0.259,0.673,3
NEMATODE:EC10:2:Growth,FISH:NOEC:7:Mortality,6,1.81377195260882,-3.19904934304099,1.0244489730757,0.732441522570274,0.839430575555974,1.81376714624076,0.292502751212775,3.33503154126875,-3.19904361041091,-5.71696860920191,-0.681118611619922,6,1.286,-2.57,0.63,0.794,0.059,4
NEMATODE:EC10:2:Growth,ALGAE:EC50:4:Population,12,11.5778034011308,-11.3772281951842,5.50553870981169,61.9582001487221,0.525773484094545,11.5778222066595,-49.9874846728186,73.1431290861377,-11.3772466006991,-67.9464281258344,45.1919349244361,12,0.187,-0.229,0.011,0.105,0.744,10
NEMATODE:EC10:2:Growth,ALGAE:EC50:3:Population,10,-5.04016704396926,4.87085587037069,3.6717285492915,9.69456910377474,0.454024475221222,-5.0401869808801,-96.9295973665942,86.849223404834,4.8708755286253,-95.8853400204809,105.627091077732,10,-0.299,0.196,0.036,-0.191,0.597,8
NEMATODE:EC10:2:Growth,ALGAE:EC50:2:Population,7,-12.790083817624,12.3150271966442,2.48945778574366,58.5329295294392,0.623304991656319,-12.7900900250333,-135.590669884241,110.010489834175,12.3150333156313,-97.1732266605481,121.803293291811,7,-0.252,-0.044,0.015,-0.123,0.793,5
NEMATODE:EC10:2:Growth,ALGAE:EC50:4:Growth,6,2.92739551550967,-4.56135022432301,0.816178665851743,1.30175661402245,0.633595427114658,2.927399756745,0.841052535217406,5.0137469782726,-4.56135564222764,-7.44091529875841,-1.68179598569687,6,0.777,-1.814,0.201,0.448,0.373,4
NEMATODE:EC10:2:Growth,ALGAE:NOEC:4:Mortality/Growth,5,3.04375567975436,-5.92030660916583,0.583839119090305,1.19855733015583,0.790377850210141,3.04377336478198,-14.6269837924367,20.7145305220006,-5.92033633253225,-39.9704739153038,28.1298012502393,5,1.289,-2.971,0.369,0.608,0.277,3
NEMATODE:EC10:2:Growth,INVERT:NOEC:14:Mortality,5,2.59951131003472,-4.39573972196794,0.306117707262563,0.474939115774973,0.970701228047076,2.59950741254719,1.45078477512651,3.74823004996787,-4.39573490280464,-6.35941588374266,-2.43205392186663,5,2.327,-4.059,0.88,0.938,0.018,3
NEMATODE:EC10:2:Growth,INVERT:LC50:3:Mortality,8,5.42868083984918,-5.10558536376666,1.90214584070213,7.24493484465839,0.813600098260575,5.42869168725772,-237.063266846215,247.920650220731,-5.10559462630536,-240.991249234601,230.78005998199,8,1.209,-1.502,0.199,0.446,0.268,6
NEMATODE:EC10:2:Growth,ALGAE:EC50:5:Population,6,11.337002474555,-17.7438798756126,1.37126963649349,29.6028832329674,0.728730217662083,11.3370177152671,-58.7128689855656,81.3869044160999,-17.7439036974359,-124.050547652424,88.5627402575526,6,0.452,-0.729,0.034,0.183,0.728,4
NEMATODE:EC10:2:Growth,"FISH:LC50:4:Mortality, Mortality",9,2.94984801940075,-1.9248649432247,1.93550791090871,2.08639222315007,0.643292623186977,2.94985641825849,-1.4920238157561,7.39173665227307,-1.92487147873178,-5.58006880369024,1.73032584622669,9,0.799,-0.252,0.207,0.455,0.218,7
NEMATODE:EC10:2:Growth,FISH:EC50:4:Immobilization: Change in the failure to respond or lack of movement after mechanical stimulation.,7,1.40283495592016,-1.40525803406083,1.35483664868935,0.57444027071534,0.547160353331318,1.40283943985578,-0.321912974460532,3.12759185417209,-1.40526306227357,-3.61856655642749,0.808040431880348,7,0.63,-0.538,0.276,0.526,0.226,5
NEMATODE:EC10:2:Growth,ALGAE:EC50:4:Population Growth: Rate of growth. Equivalent to intrinsic rate of increase and maximum possible rate of growth for species. Calculated by relating biomass or abundance to time. Life table data and germination rates are included.,6,2.16636691711625,-3.02574389375441,2.05494739283771,1.94985245799878,0.618461747275709,2.16635532584019,-3.28372180180093,7.61643245348132,-3.0257310089661,-8.65886361238675,2.60740159445455,6,0.786,-1.491,0.264,0.514,0.297,4
NEMATODE:EC10:2:Growth,ALGAE:IC50:3:Population,5,30.3305769157353,-37.3000195320161,1.18159477824064,217.636499723006,0.440562390319434,30.3305789765896,-115.828662669731,176.489820622911,-37.3000220351074,-216.386855681461,141.786811611246,5,0.052,-0.524,0.001,0.032,0.959,3
NEMATODE:EC10:2:Growth,INVERT:EC50:4:Intoxication,6,3.81939838401201,-3.30107213387163,0.061752144052202,0.160430053173462,0.99398693634992,3.81939046316836,2.56304266906902,5.0757382572677,-3.30106810585684,-4.2904938390476,-2.31164237266608,6,3.647,-3.214,0.952,0.976,0.001,4
NEMATODE:EC10:2:Growth,ALGAE:NOEL:5:Population,7,1.93728801367003,-3.42783350388456,2.50158097911358,1.69860380680623,0.550473683208206,1.93728639325559,-4.31255298414789,8.18712577065907,-3.4278313991685,-13.22470749151,6.36904469317295,7,0.659,-1.767,0.224,0.473,0.283,5
NEMATODE:EC10:2:Growth,"FISH:LC50:1:Mortality, Mortality",6,1.03888898693844,-0.0705720781086447,1.49721178631455,0.518856330837781,0.380958418561691,1.0388811925849,-1.17720478227591,3.25496716744571,-0.0705665931974142,-1.31243318393784,1.17129999754302,6,0.386,0.389,0.145,0.381,0.457,4
NEMATODE:EC10:2:Growth,"INVERT:EC50:1:Intoxication, Immobile",5,4.16394928822084,-3.77874437926918,0.584315337417505,2.1430902866113,0.830047815740464,4.16396616765744,-17.4738207165147,25.8017530518296,-3.77876143073159,-20.7975238466043,13.2400009851412,5,1.447,-1.034,0.314,0.56,0.326,3
NEMATODE:EC10:2:Growth,"NIEHS_RAT:LOEL:NA:DART, In life observation",7,2.92294368176465,-2.87653768442678,1.25627934373876,1.71277532170008,0.653010394521609,2.92294357534988,-2.65085625970467,8.49674341040442,-2.87653753313084,-10.9726433046549,5.21956823839324,7,0.827,0.104,0.218,0.467,0.291,5
NEMATODE:EC10:2:Growth,NIEHS_RAT:LD50:NA:Acute Oral Toxicity,12,3.38867943483738,-1.20717541447353,5.75974407092921,5.99164495642408,0.283125090488702,3.3886739393983,-16.6392424898094,23.416590368606,-1.20716905571011,-26.0102840367538,23.5959459253336,12,0.202,2.481,0.025,0.158,0.623,10
NEMATODE:EC10:2:Growth,ZF_EMBRYO_SU:LC50:4:Mortality,5,3.44511470693349,-1.60240501172254,1.0190177715593,2.62271030687581,0.73910289517011,3.44512936445711,-35.6958417531222,42.5861004820364,-1.6024104646191,-9.76270397150065,6.55788304226245,5,1.053,-0.713,0.257,0.507,0.384,3
NEMATODE:EC10:2:Growth,ZF_EMBRYO_SU:LC50:2:Mortality,5,-1.71761674904554,4.08935775714954,0.336663610427052,0.265978210081847,0.744221291071876,-1.71761279317584,-3.68762737342437,0.252401787072689,4.08935210222051,1.61105200538572,6.56765219905529,5,-1.023,3.097,0.484,-0.696,0.192,3
NEMATODE:EC10:2:Growth,TC_ZF_Tanguay:AC50:5:Mortality,11,-5.04087042297148,3.99633010848202,4.91369700835717,11.7975071605206,0.748424331558299,-5.04087064724542,-13.8452366784513,3.76349538396042,3.99633037426946,-8.03018151370305,16.022842262242,11,-0.927,-0.879,0.157,-0.396,0.228,9
NEMATODE:EC10:2:Growth,TC_ZF_Tanguay:AC20:5:Mortality,9,-6.57904139609933,5.49868751016077,3.63189178904924,17.8704352934775,0.74654720466144,-6.57903165182005,-28.7121331168311,15.554069813191,5.49867592733886,-25.7354216448878,36.7327734995655,9,-0.772,-1.403,0.1,-0.316,0.407,7
NEMATODE:EC10:2:Growth,TC_ZF_Tanguay:AC10:5:Mortality,9,-7.64505839131277,6.34395407218544,3.79198174369684,25.0468474490672,0.71689635667448,-7.64506351230817,-78.687108772129,63.3969817475127,6.34396015940606,-90.3616254753601,103.049545794172,9,-0.6,-2.03,0.065,-0.256,0.507,7
NEMATODE:EC10:2:Growth,TC_ZF_Tanguay:AC5:5:Mortality,9,-10.1371616372158,8.89720067629254,3.94266679935605,45.4554637811364,0.694021740966844,-10.1371725808216,-104.313670111822,84.0393249501786,8.8972136847289,-113.410021780938,131.204449150396,9,-0.425,-2.648,0.034,-0.185,0.634,7
NEMATODE:EC10:2:Growth,TC_ZF_Tanguay:BMD:5:Mortality,6,-7.99196720359577,7.52121189809057,1.61457033010671,17.456610567089,0.848015338260014,-7.99196318371986,-54.7876375755815,38.8037112081418,7.52120717033425,-54.2938733505072,69.3362876911757,6,-1.173,-0.499,0.135,-0.367,0.474,4
NEMATODE:EC10:2:Growth,TC_ZF_Padilla:AC50:6:TERATOSCORE,11,-4.29049338828239,4.35794346743597,4.11773320945771,7.265303586774,0.817672743920884,-4.2905122746208,-7.34749419641757,-1.23353035282403,4.35796584967002,-0.978082771384952,9.69401447072499,11,-1.356,0.88,0.283,-0.532,0.092,9
NEMATODE:EC10:2:Growth,TC_ZF_Padilla:AC20:6:TERATOSCORE,9,-2.59437659529834,2.34877228814636,4.05650397403911,3.48444222508542,0.100521802929617,-2.59438333007917,-43.3350286471954,38.1462619870371,2.34877897500916,-42.0753050895267,46.772863039545,9,-0.073,-0.155,0.005,-0.068,0.863,7
NEMATODE:EC10:2:Growth,TC_ZF_Padilla:AC10:6:TERATOSCORE,9,-4.41067004803396,3.75697581640578,3.92917361077434,8.92970637752235,0.389008478199759,-4.41066814751765,-91.0602005974673,82.238864302432,3.75697392941167,-77.6324907683673,85.1464386271907,9,-0.258,-0.366,0.032,-0.179,0.645,7
NEMATODE:EC10:2:Growth,TC_ZF_Padilla:AC5:6:TERATOSCORE,9,-5.81110946085261,4.74939667654669,3.84818153874452,14.8663775135752,0.595296042888352,-5.8111090933183,-43.9567896936566,32.33457150702,4.74939631162739,-32.5577705261044,42.0565631493592,9,-0.453,-0.57,0.058,-0.24,0.533,7
NEMATODE:EC10:2:Growth,TC_ZF_Padilla:BMD:6:TERATOSCORE,9,2.53137152433427,-1.8762266908286,2.74476365971327,2.25919721707266,0.658515732173953,2.53138491030991,0.206162334058997,4.85660748656082,-1.87623998156286,-5.00758846187227,1.25510849874655,9,0.867,-0.223,0.263,0.513,0.158,7
NEMATODE:EC10:2:Growth,TC_ZF_Padilla:ACC:6:TERATOSCORE,8,1.17903150094121,-0.896040447951457,2.43658141893553,0.72796381010971,0.372124398783914,1.17904488312491,-0.899517841402728,3.25760760765255,-0.896052588054947,-3.21146114104617,1.41935596493627,8,0.391,-0.181,0.135,0.368,0.37,6
